DateTime,DO (mg L-1),pH,Temperature (°C),d13C-DIC (‰),DIC  (mg L-1) ,GPP (mg O2 L-1 h-1),R (mg O2 L-1 h-1),KO2 (m d-1)
4/18/25 18:00,9.37,8.03,19.94,-9.87,11.34,3.163261128,-3.243061466,1.330328696
4/18/25 22:00,9.32,7.70,19.61,-10.04,11.80,0,-3.077571443,1.032144676
4/19/25 2:00,9.08,7.56,19.33,-10.29,11.62,0,-2.987832029,0.998265596
4/19/25 6:00,8.71,7.49,19.13,-10.54,12.22,0,-2.897126237,0.902699574
4/19/25 10:00,8.42,7.64,19.54,-10.47,12.01,6.270676864,-2.992962492,1.190512892
4/19/25 14:00,9.34,8.47,20.38,-9.97,11.71,10.38518085,-3.239893619,1.06198289
4/19/25 18:00,9.34,8.17,21.17,-9.84,11.95,5.42755523,-3.30677849,0.871456528
4/19/25 22:00,9.11,7.67,21.13,-9.95,13.10,0,-3.067954849,0.78389845
4/20/25 2:00,8.90,7.55,20.71,-10.21,12.11,0,-2.930501362,0.694584514
4/20/25 6:00,8.96,7.53,20.03,-10.50,12.07,0,-2.872548607,0.676130802
4/20/25 10:00,8.79,7.68,21.08,-10.16,11.94,6.311224163,-3.034758347,0.62119863
4/20/25 14:00,9.18,8.69,21.78,-9.74,11.95,10.41312887,-3.287625018,1.538399061
4/20/25 18:00,9.95,8.30,22.22,-9.54,12.06,5.454468954,-3.282886013,1.375980502
