Season,DATETIME,SP_COND_µS_CM-1,DO_mg_L-1,PH,TEMP_degC,Chloride_mg_L-1,Nitrate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1,Calcite,Dolomite,Goethite,Pyrolusite,Hydroxyapatite
Fall,2024-10-18 18:00:00,150.1,8.92,7.72,16.841,1.881,0.14,4.776,22.7,1.04,5.66,1.178,0.003,1.988,3.5,50.0,10.0,5.975,22.36,16.38,-0.5157221054314665,-1.3183683494817053,7.562309803622684,-10.773017835767288,-5.080794087386103
Fall,2024-10-18 22:00:00,150.4,8.27,7.6,15.806,1.848,0.139,4.8,22.9,0.977,5.69,1.172,,1.93,3.47,52.0,12.0,6.182,22.47,16.29,-0.6557306901880331,-1.6035557669542904,7.496071254386235,-11.333101732375127,
Fall,2024-10-19 02:00:00,148.7,8.16,7.51,15.115,1.888,0.141,4.843,23.0,1.03,5.75,1.178,0.001,1.983,3.5,53.0,13.0,5.401,21.84,16.44,-0.7563311958445063,-1.8045473995105077,7.38666141628139,-11.767547348673457,-7.609039507194623
Fall,2024-10-19 06:00:00,152.7,8.23,7.55,14.629,1.866,0.138,4.795,23.2,0.96,5.76,1.162,,1.972,3.49,55.0,13.0,5.703,22.46,16.76,-0.7099447914561399,-1.71643524999174,7.451974907021086,-11.695722305204612,
Fall,2024-10-19 10:00:00,152.2,8.58,7.57,15.285,1.834,,4.776,22.9,0.908,5.72,1.128,,1.919,3.46,48.0,10.0,5.54,22.11,16.57,-0.6883778454233713,-1.6683842888607217,7.425605513157512,-11.618803207146016,
Fall,2024-10-19 14:00:00,151.7,8.9,7.6,16.774,1.846,0.145,4.826,22.6,0.982,5.7,1.144,0.001,1.944,3.51,46.0,11.0,5.557,22.18,16.62,-0.6376142666696669,-1.557527820653604,7.442760214655335,-11.209249727533688,-7.072046060809761
Fall,2024-10-19 18:00:00,154.6,8.88,7.85,16.649,1.84,0.139,4.799,22.0,0.947,5.64,1.135,,1.933,3.52,39.0,11.0,5.775,22.45,16.67,-0.3904721194376197,-1.0562678723489753,7.508385163602819,-10.26553402601423,
Fall,2024-10-19 22:00:00,151.2,8.68,7.58,15.881,1.831,,4.795,23.0,0.895,5.72,1.142,0.002,1.951,3.48,53.0,12.0,5.579,22.28,16.7,-0.6634682256591731,-1.6183921443740772,7.483249591373955,-11.400407382409565,-6.308622585397146
Fall,2024-10-20 02:00:00,152.5,8.32,7.53,15.144,1.849,,4.798,23.1,0.874,5.74,1.133,0.004,1.943,3.47,58.0,13.0,5.3,22.11,16.81,-0.7234582326879746,-1.7413239487553653,7.4542906331998715,-11.6861770253877,-5.698732126848263
Fall,2024-10-20 06:00:00,150.9,8.42,7.52,14.622,1.818,,4.872,23.3,0.893,5.78,1.144,,1.957,3.49,62.0,13.0,5.559,22.6,17.04,-0.7332718927969886,-1.7634980069794821,7.460339633817332,-11.815434894980935,
Fall,2024-10-20 10:00:00,150.3,8.65,7.59,15.195,1.851,,4.742,23.2,0.921,5.75,1.123,,1.893,3.47,54.0,12.0,5.405,22.29,16.88,-0.6557456573036529,-1.606784915765303,7.4988218062031,-11.478753022761083,
Fall,2024-10-20 14:00:00,153.2,8.7,7.7,17.988,1.796,,4.69,23.1,0.954,5.73,1.11,,1.917,3.49,46.0,11.0,5.506,22.18,16.68,-0.5038267479674818,-1.2929646135976505,7.501112812056453,-10.619297049360785,
Fall,2024-10-20 18:00:00,155.8,8.62,7.81,17.386,1.829,,4.764,23.0,0.88,5.72,1.118,,1.911,3.46,45.0,10.0,5.607,22.28,16.67,-0.4019080865903497,-1.0898757135089134,7.5447606738212745,-10.337528701385814,
