Season,DATETIME,SP_COND_µS_CM-1,DO_mg_L-1,PH,TEMP_degC,Chloride_mg_L-1,Nitrate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1,Calcite,Dolomite,Goethite,Pyrolusite,Hydroxyapatite
Spring,2025-04-18 18:00:00,99.0,9.37,8.03,19.94,1.54,0.13,4.97,13.5,0.03,3.28,0.98,0.0485,1.73,3.01,128.61,18.25,3.78,15.13,11.34,-0.5127494437144549,-1.3135389072609378,7.977720434374298,-8.763455822945346,-0.735569997680777
Spring,2025-04-18 22:00:00,99.3,9.32,7.7,19.61,1.53,0.13,4.92,14.2,0.21,3.34,0.96,0.041,1.75,3.0,139.54,23.18,2.89,14.69,11.8,-0.8174734295068351,-1.9385186007294593,7.962819339767469,-9.987630875862237,-2.3244889133671975
Spring,2025-04-19 02:00:00,99.8,9.08,7.56,19.33,1.54,0.13,4.92,14.3,0.22,3.44,0.93,0.0486,1.7,3.04,149.74,34.73,2.81,14.43,11.62,-0.9719497153134125,-2.2387334129196717,7.9202051098053055,-10.40375172895397,-2.7627059803458707
Spring,2025-04-19 06:00:00,99.9,8.71,7.49,19.13,2.56,0.18,8.34,15.4,0.41,3.52,1.73,0.0676,2.84,2.99,147.26,61.58,3.89,16.1,12.22,-1.0020252346404295,-2.3220253912503495,7.849731959240383,-10.470017943729793,-2.5672638195607576
Spring,2025-04-19 10:00:00,102.2,8.42,7.64,19.54,1.53,,4.86,13.9,0.08,3.37,0.9,0.0345,1.7,2.96,137.89,28.76,3.06,15.07,12.01,-0.8823359042381202,-2.0553466691977285,7.932104737686171,-10.14012632529709,-2.872835827218694
Spring,2025-04-19 14:00:00,101.0,9.34,8.47,20.38,1.53,,4.9,13.8,0.01,3.36,0.88,0.0298,1.69,3.02,136.89,8.09,3.87,15.58,11.71,-0.047515729008468455,-0.3791546743257719,7.96582171317559,-7.422225072183245,0.4543333701715966
Spring,2025-04-19 18:00:00,103.2,9.34,8.17,21.17,1.53,,4.86,13.2,0.08,3.29,0.97,0.0398,1.76,2.96,129.54,3.61,3.58,15.53,11.95,-0.34085868152160614,-0.9543142176477559,7.94882921050832,-8.746827644607883,-0.36077711385669176
Spring,2025-04-19 22:00:00,105.0,9.11,7.67,21.13,1.6,0.13,5.0,14.3,0.02,3.51,0.93,0.0235,1.74,3.0,122.38,4.17,3.94,17.04,13.1,-0.7785534083875145,-1.8372505356068594,7.869142214449308,-10.60880015326451,-3.053069848394557
Spring,2025-04-20 02:00:00,103.7,8.9,7.55,20.71,1.55,0.13,4.93,14.4,0.07,3.47,0.93,0.0353,1.73,2.99,131.23,17.45,3.86,15.97,12.11,-0.9404010733247752,-2.1704441762141187,7.845666725851617,-10.517538574946606,-3.0936096916857636
Spring,2025-04-20 06:00:00,103.5,8.96,7.53,20.03,1.57,,4.94,14.6,0.02,3.48,0.91,0.0257,1.74,2.96,140.26,18.01,3.82,15.89,12.07,-0.9679227626250331,-2.232396219377108,7.864779978208366,-10.693704918723071,-3.6349028146152946
Spring,2025-04-20 10:00:00,104.2,8.79,7.68,21.08,1.58,0.13,4.93,13.7,0.01,3.46,0.91,0.0328,1.72,2.99,135.74,3.98,4.32,16.25,11.94,-0.8251357077414667,-1.91826543317487,7.919021870986644,-10.590206954261376,-2.6506840373642646
Spring,2025-04-20 14:00:00,106.1,9.18,8.69,21.78,1.52,,4.86,13.5,0.02,3.45,0.89,0.0302,1.71,2.95,130.01,2.73,4.03,15.98,11.95,0.1836973934475452,0.11046829587522922,7.85485049649567,-6.8987845581553415,1.3380278686833904
Spring,2025-04-20 18:00:00,104.3,9.95,8.3,22.22,1.52,,4.83,13.4,0.06,3.35,0.94,0.0321,1.77,2.95,128.68,0.53,4.11,16.17,12.06,-0.18594015729391167,-0.6393468717684776,7.908625750543555,-8.932521296135015,-0.010025108185111264
