DateTime,DO (mg L-1),pH,Calcium (mg L-1) , Na (mg L-1),Chloride (mg L-1),Temperature (°C),d13C-DIC (‰),DIC  (mg L-1) ,GPP (mg O2 L-1 h-1),R (mg O2 L-1 h-1),KO2 (m d-1)
10/18/2024 18:00,8.92,7.72,22.7,1.178,1.881,16.841,-7.17,16.38,0.534519396,-6.118820899,0.7
10/18/2024 22:00,8.27,7.6,22.9,1.172,1.848,15.806,-7.24,16.29,0,-5.475336126,0.625
10/19/2024 2:00,8.16,7.51,23,1.178,1.888,15.115,-7.4,16.44,0,-5.023120401,0.554
10/19/2024 6:00,8.23,7.55,23.2,1.162,1.866,14.629,-7.57,16.76,0,-4.407510977,0.503
10/19/2024 10:00,8.58,7.57,22.9,1.128,1.834,15.285,-7.39,16.57,5.442636781,-5.113840423,0.425
10/19/2024 14:00,8.9,7.6,22.6,1.144,1.846,16.774,-7.14,16.62,10.04813211,-6.509998494,0.587
10/19/2024 18:00,8.88,7.85,22,1.135,1.840,16.649,-7.03,16.67,3.085034606,-6.404323688,0.539
10/19/2024 22:00,8.68,7.58,23,1.142,1.831,15.881,-7.37,16.7,0,-5.687716042,0.653
10/20/2024 2:00,8.32,7.53,23.1,1.133,1.849,15.144,-7.53,16.81,0,-5.227968876,0.5
10/20/2024 6:00,8.42,7.52,23.3,1.144,1.818,14.622,-7.69,17.04,0,-4.703955995,0.421
10/20/2024 10:00,8.65,7.59,23.2,1.123,1.851,15.195,-7.57,16.88,5.388957157,-5.241544917,0.426
10/20/2024 14:00,8.7,7.7,23.1,1.110,1.796,17.988,-7.19,16.68,9.981099356,-6.673209747,0.629
10/20/2024 18:00,8.62,7.81,23,1.118,1.829,17.386,-7.27,16.67,3.019079948,-6.573645174,0.635
