DateTime,DO (mg L-1),pH,Calcium (mg L-1) ,Sodium (mg L-1),Chloride (mg L-1),Temperature (°C),d13C-DIC (‰),DIC  (mg L-1) ,GPP (mg O2 L-1 h-1),R (mg O2 L-1 h-1),KO2 (m d-1)
4/18/2025 18:00,9.37,8.03,13.5,0.975,1.541,19.94,-9.87,11.34,3.163261128,-3.243061466,1.330328696
4/18/2025 22:00,9.32,7.7,14.2,0.96,1.529,19.61,-10.04,11.8,0,-3.077571443,1.032144676
4/19/2025 2:00,9.08,7.56,14.3,0.927,1.537,19.33,-10.29,11.62,0,-2.987832029,0.998265596
4/19/2025 6:00,8.71,7.49,15.4,1.729,2.556,19.13,-10.54,12.22,0,-2.897126237,0.902699574
4/19/2025 10:00,8.42,7.64,13.9,0.899,1.531,19.54,-10.47,12.01,6.270676864,-2.992962492,1.190512892
4/19/2025 14:00,9.34,8.47,13.8,0.883,1.528,20.38,-9.97,11.71,10.38518085,-3.239893619,1.06198289
4/19/2025 18:00,9.34,8.17,13.2,0.971,1.528,21.17,-9.84,11.95,5.42755523,-3.30677849,0.871456528
4/19/2025 22:00,9.11,7.67,14.3,0.926,1.599,21.13,-9.95,13.1,0,-3.067954849,0.78389845
4/20/2025 2:00,8.9,7.55,14.4,0.932,1.545,20.71,-10.21,12.11,0,-2.930501362,0.694584514
4/20/2025 6:00,8.96,7.53,14.6,0.906,1.571,20.03,-10.5,12.07,0,-2.872548607,0.676130802
4/20/2025 10:00,8.79,7.68,13.7,0.906,1.576,21.08,-10.16,11.94,6.311224163,-3.034758347,0.62119863
4/20/2025 14:00,9.18,8.69,13.5,0.892,1.522,21.78,-9.74,11.95,10.41312887,-3.287625018,1.538399061
4/20/2025 18:00,9.95,8.3,13.4,0.94,1.517,22.22,-9.54,12.06,5.454468954,-3.282886013,1.375980502
