Season,DATETIME,SP_COND_µS_CM-1,DO_mg_L-1,PH,TEMP_degC,Chloride_mg_L-1,Nitrate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1
Fall,10/18/2024 18:00,150.1,8.92,7.72,16.841,1.881,0.14,4.776,22.7,1.04,5.66,1.178,0.003,1.988,3.5,50,10,5.975,22.36,16.38
Fall,10/18/2024 22:00,150.4,8.27,7.6,15.806,1.848,0.139,4.8,22.9,0.977,5.69,1.172,,1.93,3.47,52,12,6.182,22.47,16.29
Fall,10/19/2024 2:00,148.7,8.16,7.51,15.115,1.888,0.141,4.843,23,1.03,5.75,1.178,0.001,1.983,3.5,53,13,5.401,21.84,16.44
Fall,10/19/2024 6:00,152.7,8.23,7.55,14.629,1.866,0.138,4.795,23.2,0.96,5.76,1.162,,1.972,3.49,55,13,5.703,22.46,16.76
Fall,10/19/2024 10:00,152.2,8.58,7.57,15.285,1.834,,4.776,22.9,0.908,5.72,1.128,,1.919,3.46,48,10,5.54,22.11,16.57
Fall,10/19/2024 14:00,151.7,8.9,7.6,16.774,1.846,0.145,4.826,22.6,0.982,5.7,1.144,0.001,1.944,3.51,46,11,5.557,22.18,16.62
Fall,10/19/2024 18:00,154.6,8.88,7.85,16.649,1.84,0.139,4.799,22,0.947,5.64,1.135,,1.933,3.52,39,11,5.775,22.45,16.67
Fall,10/19/2024 22:00,151.2,8.68,7.58,15.881,1.831,,4.795,23,0.895,5.72,1.142,0.002,1.951,3.48,53,12,5.579,22.28,16.7
Fall,10/20/2024 2:00,152.5,8.32,7.53,15.144,1.849,,4.798,23.1,0.874,5.74,1.133,0.004,1.943,3.47,58,13,5.3,22.11,16.81
Fall,10/20/2024 6:00,150.9,8.42,7.52,14.622,1.818,,4.872,23.3,0.893,5.78,1.144,,1.957,3.49,62,13,5.559,22.6,17.04
Fall,10/20/2024 10:00,150.3,8.65,7.59,15.195,1.851,,4.742,23.2,0.921,5.75,1.123,,1.893,3.47,54,12,5.405,22.29,16.88
Fall,10/20/2024 14:00,153.2,8.7,7.7,17.988,1.796,,4.69,23.1,0.954,5.73,1.11,,1.917,3.49,46,11,5.506,22.18,16.68
Fall,10/20/2024 18:00,155.8,8.62,7.81,17.386,1.829,,4.764,23,0.88,5.72,1.118,,1.911,3.46,45,10,5.607,22.28,16.67
Winter,2/7/2025 18:00,118.7,10.03,8,11.197,1.926,,6.06,16.2,0.548,4.18,1.179,0.049,2.003,2.45,74,41.247,2.639,16.02,13.38
Winter,2/7/2025 22:00,118.2,10.04,7.61,10.883,1.848,,6.038,16.2,0.536,4.19,1.13,0.062,2.012,2.44,81,45.869,2.751,16.07,13.32
Winter,2/8/2025 2:00,118.7,9.91,7.57,10.675,1.871,,6.104,16.6,0.525,4.22,1.132,,1.972,2.43,82,50.523,2.553,16.02,13.47
Winter,2/8/2025 6:00,118.2,9.96,7.54,10.562,1.91,,6.181,16.8,0.386,4.22,1.177,0.003,1.926,2.37,90,57.652,2.813,16.27,13.45
Winter,2/8/2025 10:00,120,10.36,7.65,10.944,1.889,,6.14,16.4,0.475,4.17,1.087,,2.074,2.36,84,41.313,2.445,16.09,13.65
Winter,2/8/2025 14:00,120.4,10.37,7.83,11.323,1.85,,6.064,16.2,0.455,4.11,1.111,0.018,1.97,2.42,83,41.141,2.525,16.14,13.62
Winter,2/8/2025 18:00,117,10.25,7.71,11.461,1.898,,6.171,16.2,0.424,4.11,1.091,0.007,2.002,2.42,80,31.968,2.473,15.93,13.46
Winter,2/8/2025 22:00,117.2,10.01,7.55,11.158,1.857,,6.065,16.4,0.435,4.18,1.146,0.039,2.007,2.39,85,46.485,2.45,15.91,13.46
Winter,2/9/2025 2:00,119.1,10.04,7.58,10.966,1.806,,5.949,16.5,0.493,4.18,1.156,0.049,1.998,2.33,92,46.566,2.393,15.82,13.43
Winter,2/9/2025 6:00,118.6,10.23,7.59,10.242,1.922,,6.228,16.9,0.464,4.26,1.245,0.041,2.085,2.38,105,46.718,2.468,16.21,13.74
Winter,2/9/2025 10:00,119.1,10.45,7.65,10.373,1.819,,5.962,16.6,0.39,4.17,1.091,0.049,1.981,2.34,87,44.201,2.581,16.15,13.57
Winter,2/9/2025 14:00,120.1,10.7,7.71,10.698,1.839,,6.022,16.4,0.49,4.16,1.181,,2.068,2.34,86,40.011,2.512,16.07,13.56
Winter,2/9/2025 18:00,119.8,10.61,7.68,10.592,1.841,,6.022,16.3,0.454,4.13,1.099,0.062,2.008,2.34,82,38.231,2.532,16.1,13.56
Spring,4/18/2025 18:00,99,9.37,8.03,19.94,1.54,0.13,4.97,13.5,0.03,3.28,0.98,0.0485,1.73,3.01,128.61,18.25,3.78,15.13,11.34
Spring,4/18/2025 22:00,99.3,9.32,7.7,19.61,1.53,0.13,4.92,14.2,0.21,3.34,0.96,0.041,1.75,3,139.54,23.18,2.89,14.69,11.8
Spring,4/19/2025 2:00,99.8,9.08,7.56,19.33,1.54,0.13,4.92,14.3,0.22,3.44,0.93,0.0486,1.7,3.04,149.74,34.73,2.81,14.43,11.62
Spring,4/19/2025 6:00,99.9,8.71,7.49,19.13,2.56,0.18,8.34,15.4,0.41,3.52,1.73,0.0676,2.84,2.99,147.26,61.58,3.89,16.1,12.22
Spring,4/19/2025 10:00,102.2,8.42,7.64,19.54,1.53,,4.86,13.9,0.08,3.37,0.9,0.0345,1.7,2.96,137.89,28.76,3.06,15.07,12.01
Spring,4/19/2025 14:00,101,9.34,8.47,20.38,1.53,,4.9,13.8,0.01,3.36,0.88,0.0298,1.69,3.02,136.89,8.09,3.87,15.58,11.71
Spring,4/19/2025 18:00,103.2,9.34,8.17,21.17,1.53,,4.86,13.2,0.08,3.29,0.97,0.0398,1.76,2.96,129.54,3.61,3.58,15.53,11.95
Spring,4/19/2025 22:00,105,9.11,7.67,21.13,1.6,0.13,5,14.3,0.02,3.51,0.93,0.0235,1.74,3,122.38,4.17,3.94,17.04,13.1
Spring,4/20/2025 2:00,103.7,8.9,7.55,20.71,1.55,0.13,4.93,14.4,0.07,3.47,0.93,0.0353,1.73,2.99,131.23,17.45,3.86,15.97,12.11
Spring,4/20/2025 6:00,103.5,8.96,7.53,20.03,1.57,,4.94,14.6,0.02,3.48,0.91,0.0257,1.74,2.96,140.26,18.01,3.82,15.89,12.07
Spring,4/20/2025 10:00,104.2,8.79,7.68,21.08,1.58,0.13,4.93,13.7,0.01,3.46,0.91,0.0328,1.72,2.99,135.74,3.98,4.32,16.25,11.94
Spring,4/20/2025 14:00,106.1,9.18,8.69,21.78,1.52,,4.86,13.5,0.02,3.45,0.89,0.0302,1.71,2.95,130.01,2.73,4.03,15.98,11.95
Spring,4/20/2025 18:00,104.3,9.95,8.3,22.22,1.52,,4.83,13.4,0.06,3.35,0.94,0.0321,1.77,2.95,128.68,0.53,4.11,16.17,12.06
Summer,7/18/2025 18:00,155.6,9.53,9.53,32.285,2.212,0.125,3.348,21,0.796,4.66,1.486,0.023,1.34,3.13,153.707,0.356,0.449,17.83,18.28
Summer,7/18/2025 22:00,158.4,7.55,7.55,30.911,2.183,0.127,3.18,28.5,0.548,5.17,0.923,0.061,1.498,2.27,166.404,0.571,0.454,19.81,19.35
Summer,7/19/2025 2:00,155.6,6.67,6.67,30.413,2.059,0.126,2.975,28.8,0.663,5.5,1.106,0.025,1.275,1.86,173.487,0.829,1.338,20.64,19.3
Summer,7/19/2025 6:00,160,5.7,5.7,29.759,2.094,0.126,2.996,29.1,0.527,5.65,1.04,0.024,1.138,2.34,233.588,1.024,2.202,20.96,18.76
Summer,7/19/2025 10:00,160.7,7.09,7.09,30.127,2.101,0.125,3.037,24.6,0.615,4.08,1.24,0.022,1.448,3.09,170.238,0.442,1.868,21.27,19.4
Summer,7/19/2025 14:00,156.3,9.54,9.54,32.298,2.116,0.125,3.128,23.6,0.717,4.19,1.385,0.025,1.482,3.07,159.283,0.366,1.278,20.13,18.85
Summer,7/19/2025 18:00,150.6,9.04,9.04,31.411,2.118,0.129,3.486,22.1,0.587,4.67,0.967,0.017,1.464,2.76,158.438,0.41,2.073,21.41,19.34
Summer,7/19/2025 22:00,158.3,7.3,7.3,30.736,2.101,0.125,3.025,26.4,0.333,4.88,0.488,0.023,0.94,1.65,198.958,0.537,1.541,20.82,19.28
Summer,7/20/2025 2:00,158,6.62,6.62,30.105,2.068,0.125,2.979,27.5,0.43,5.54,0.722,0.027,1.122,2.09,201.646,1.138,2.409,21.66,19.25
Summer,7/20/2025 6:00,159.1,5.86,5.86,29.479,2.066,0.125,2.95,28.6,0.514,5.77,0.877,0.03,1.109,2.28,220.787,1.636,2.87,22.35,19.48
