Season,DATETIME,SP_COND_µS_CM-1,DO_mg_L-1,PH,TEMP_degC,Chloride_mg_L-1,Nitrate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1,Calcite,Dolomite,Goethite,Pyrolusite,Hydroxyapatite
Summer,2025-07-18 18:00:00,155.6,9.53,9.53,32.285,2.212,0.125,3.348,21.0,0.796,4.66,1.486,0.023,1.34,3.13,153.707,0.356,0.449,17.83,18.28,1.3304979823730854,2.411677707484259,7.0919852755166914,-3.5378106668333444,4.334294176333053
Summer,2025-07-18 22:00:00,158.4,7.55,7.55,30.911,2.183,0.127,3.18,28.5,0.548,5.17,0.923,0.061,1.498,2.27,166.404,0.571,0.454,19.81,19.35,-0.3074419437159488,-0.996486570643512,7.785672262406271,-10.439810778370344,-0.3220458690161294
Summer,2025-07-19 02:00:00,155.6,6.67,6.67,30.413,2.059,0.126,2.975,28.8,0.663,5.5,1.106,0.025,1.275,1.86,173.487,0.829,1.338,20.64,19.3,-1.3140507218965958,-2.989544573999101,6.607529635946706,-13.80635188985272,-6.1241814044161345
Summer,2025-07-19 06:00:00,160.0,5.7,5.7,29.759,2.094,0.126,2.996,29.1,0.527,5.65,1.04,0.024,1.138,2.34,233.588,1.024,2.202,20.96,18.76,-2.8355824711288076,-6.0278615471862125,3.8786012947982957,-17.659267639637005,-12.500453836563011
Summer,2025-07-19 10:00:00,160.7,7.09,7.09,30.127,2.101,0.125,3.037,24.6,0.615,4.08,1.24,0.022,1.448,3.09,170.238,0.442,1.868,21.27,19.4,-0.8735543646485802,-2.170381982494977,7.498084240560317,-12.462197094983054,-4.221551920272361
Summer,2025-07-19 14:00:00,156.3,9.54,9.54,32.298,2.116,0.125,3.128,23.6,0.717,4.19,1.385,0.025,1.482,3.07,159.283,0.366,1.278,20.13,18.85,1.3933121937042419,2.4419216233280956,7.098546661304908,-3.499686844783909,4.6583672678222925
Summer,2025-07-19 18:00:00,150.6,9.04,9.04,31.411,2.118,0.129,3.486,22.1,0.587,4.67,0.967,0.017,1.464,2.76,158.438,0.41,2.073,21.41,19.34,1.0168010083287378,1.7381516218678872,7.480360913134227,-5.226017316681727,3.0080249545700397
Summer,2025-07-19 22:00:00,158.3,7.3,7.3,30.736,2.101,0.125,3.025,26.4,0.333,4.88,0.488,0.023,0.94,1.65,198.958,0.537,1.541,20.82,19.28,-0.606675959775135,-1.5875977136522188,7.771955052897551,-11.46206712053825,-2.920253178015713
Summer,2025-07-20 02:00:00,158.0,6.62,6.62,30.105,2.068,0.125,2.979,27.5,0.43,5.54,0.722,0.027,1.122,2.09,201.646,1.138,2.409,21.66,19.25,-1.4038836109543311,-3.1469203033260307,6.5226060267058195,-13.912719618029357,-6.440180889634668
Summer,2025-07-20 06:00:00,159.1,5.86,5.86,29.479,2.066,0.125,2.95,28.6,0.514,5.77,0.877,0.03,1.109,2.28,220.787,1.636,2.87,22.35,19.48,-2.550370145423299,-5.4414693758152275,4.31287996352666,-16.86357481691921,-11.186868973768632
Summer,2025-07-20 10:00:00,158.8,7.16,7.16,30.477,2.076,0.125,2.976,25.2,0.654,3.66,1.39,0.021,1.267,2.97,193.842,0.531,0.078,19.25,19.18,-0.7835358217183028,-2.0469549388022443,7.644763216061978,-12.052788729206625,-3.8296685917553788
Summer,2025-07-20 14:00:00,150.4,9.95,9.95,33.22,2.075,0.125,2.884,23.4,0.768,3.38,1.439,0.03,1.339,3.11,185.584,0.466,1.703,18.02,16.32,1.5472099332024758,2.6767104132659156,6.770535652302129,-1.8162187376089136,5.537163835756623
Summer,2025-07-20 18:00:00,146.4,9.06,9.06,32.38,2.081,0.124,3.011,22.1,0.611,2.52,1.187,0.022,1.376,2.72,178.284,0.428,2.112,19.06,16.94,1.001678069757208,1.441666193038925,7.48776191430524,-4.952684583273125,3.6080099398954175
