Season,DATETIME,SP_COND_µS_CM-1,DO_mg_L-1,PH,TEMP_degC,Chloride_mg_L-1,Nitrate_mg_L-1,Sulfate_mg_L-1,Calcium_mg_L-1,Potassium_mg_L-1,Magnesium_mg_L-1,Sodium_mg_L-1,Phosphorus_mg_L-1,Sulfur_mg_L-1,Silicon_mg_L-1,Iron_ug_L-1,Manganese_ug_L-1,DOC_mg_L-1,TC_mg_L-1,DIC_mg_L-1,Calcite,Dolomite,Goethite,Pyrolusite,Hydroxyapatite
Winter,2025-02-07 18:00:00,118.7,10.03,8.0,11.197,1.926,,6.06,16.2,0.548,4.18,1.179,0.049,2.003,2.45,74.0,41.247,2.639,16.02,13.38,-0.5370650142569993,-1.3659502888616828,7.9368011464445285,-10.019231677913886,-1.3268223068882605
Winter,2025-02-07 22:00:00,118.2,10.04,7.61,10.883,1.848,,6.038,16.2,0.536,4.19,1.13,0.062,2.012,2.44,81.0,45.869,2.751,16.07,13.32,-0.9470251740461144,-2.186392398888792,7.654845103422774,-11.537950100836575,-2.783133141554167
Winter,2025-02-08 02:00:00,118.7,9.91,7.57,10.675,1.871,,6.104,16.6,0.525,4.22,1.132,,1.972,2.43,82.0,50.523,2.553,16.02,13.47,-0.9778251653694561,-2.2562063858879426,7.5874769665398,-11.690283987187883,
Winter,2025-02-08 06:00:00,118.2,9.96,7.54,10.562,1.91,,6.181,16.8,0.386,4.22,1.177,0.003,1.926,2.37,90.0,57.652,2.813,16.27,13.45,-1.007319536382445,-2.3208247417554553,7.568254545114632,-11.770592455866726,-7.020496302859193
Winter,2025-02-08 10:00:00,120.0,10.36,7.65,10.944,1.889,,6.14,16.4,0.475,4.17,1.087,,2.074,2.36,84.0,41.313,2.445,16.09,13.65,-0.8884232794557487,-2.076288922044988,7.7317022417379615,-11.418195176920136,
Winter,2025-02-08 14:00:00,120.4,10.37,7.83,11.323,1.85,,6.064,16.2,0.455,4.11,1.111,0.018,1.97,2.42,83.0,41.141,2.525,16.14,13.62,-0.7011831485574866,-1.7012555731683499,7.908527374202459,-10.653654634896867,-3.3533395491301548
Winter,2025-02-08 18:00:00,117.0,10.25,7.71,11.461,1.898,,6.171,16.2,0.424,4.11,1.091,0.007,2.002,2.42,80.0,31.968,2.473,15.93,13.46,-0.8283429688248436,-1.9551778162956914,7.789896231780427,-11.203969349894159,-5.107387924786956
Winter,2025-02-08 22:00:00,117.2,10.01,7.55,11.158,1.857,,6.065,16.4,0.435,4.18,1.146,0.039,2.007,2.39,85.0,46.485,2.45,15.91,13.46,-0.9967601940848834,-2.291237177606618,7.579774215529097,-11.719951353338189,-3.62040027046708
Winter,2025-02-09 02:00:00,119.1,10.04,7.58,10.966,1.806,,5.949,16.5,0.493,4.18,1.156,0.049,1.998,2.33,92.0,46.566,2.393,15.82,13.43,-0.9662861326263048,-2.233619988250876,7.6621628232404735,-11.635067069897296,-3.186804114893185
Winter,2025-02-09 06:00:00,118.6,10.23,7.59,10.242,1.922,,6.228,16.9,0.464,4.26,1.245,0.041,2.085,2.38,105.0,46.718,2.468,16.21,13.74,-0.9481617485586948,-2.202176121677457,7.717622768717927,-11.723827859790383,-3.3997134451290094
Winter,2025-02-09 10:00:00,119.1,10.45,7.65,10.373,1.819,,5.962,16.6,0.39,4.17,1.091,0.049,1.981,2.34,87.0,44.201,2.581,16.15,13.57,-0.8948122400151544,-2.0964691882138347,7.737427374218095,-11.488606232318773,-2.904466313049447
Winter,2025-02-09 14:00:00,120.1,10.7,7.71,10.698,1.839,,6.022,16.4,0.49,4.16,1.181,,2.068,2.34,86.0,40.011,2.512,16.07,13.56,-0.8321167940211396,-1.9655724869070212,7.816720629560173,-11.240563581889276,
Winter,2025-02-09 18:00:00,119.8,10.61,7.68,10.592,1.841,,6.022,16.3,0.454,4.13,1.099,0.062,2.008,2.34,82.0,38.231,2.532,16.1,13.56,-0.8677811143454051,-2.0378649988304893,7.757079337472662,-11.395759860953596,-2.4740085399062863
