DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,GPP_input_mgO2Lh,GPP_optimized_mgO2Lh,ER_input_mgO2Lh,ER_optimized_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured_permil,d13C_DIC_modeled_permil,d13C_residual_permil,Daylight_flag
2024-10-18 18:00:00,16.841000,7.720000,7.720000,1401.394313,0.534519,0.221819,-6.118821,-3.207380,-2.985562,0.700000,0.700433,27.168522,2.656059,79.298907,0.180271,16.380000,-7.170000,-7.170000,0.000000,1
2024-10-18 19:00:00,16.582250,7.690000,7.690000,1489.798260,0.400890,0.000000,-5.957950,-3.123054,-3.123054,0.681250,0.686391,29.066094,2.846198,78.936086,0.166341,16.357500,-7.187500,-7.198964,0.011464,0
2024-10-18 20:00:00,16.323500,7.660000,7.660000,1583.389094,0.267260,0.000000,-5.797079,-3.038728,-3.038728,0.662500,0.672145,30.998833,3.049296,78.554243,0.153439,16.335000,-7.205000,-7.225562,0.020562,0
2024-10-18 21:00:00,16.064750,7.630000,7.630000,1682.417877,0.133630,0.000000,-5.636207,-2.954402,-2.954402,0.643750,0.657693,32.962176,3.266137,78.152372,0.141491,16.312500,-7.222500,-7.250118,0.027618,0
2024-10-18 22:00:00,15.806000,7.600000,7.600000,1787.140113,0.000000,0.000000,-5.475336,-2.870076,-2.870076,0.625000,0.643031,34.950747,3.497534,77.729416,0.130427,16.290000,-7.240000,-7.272926,0.032926,0
2024-10-18 23:00:00,15.633250,7.577500,7.577500,1876.268321,0.000000,0.000000,-5.362282,-2.810816,-2.810816,0.607250,0.627715,36.378047,3.691853,77.658257,0.123174,16.327500,-7.280000,-7.317715,0.037715,0
2024-10-19 00:00:00,15.460500,7.555000,7.555000,1969.490762,0.000000,0.000000,-5.249228,-2.751555,-2.751555,0.589500,0.612250,37.789636,3.896332,77.572635,0.116300,16.365000,-7.320000,-7.360118,0.040118,0
2024-10-19 01:00:00,15.287750,7.532500,7.532500,2066.959494,0.000000,0.000000,-5.136174,-2.692294,-2.692294,0.571750,0.596636,39.179739,4.111430,77.471933,0.109785,16.402500,-7.360000,-7.400408,0.040408,0
2024-10-19 02:00:00,15.115000,7.510000,7.510000,2168.828379,0.000000,0.000000,-5.023120,-2.633033,-2.633033,0.554000,0.580871,40.542041,4.337620,77.355515,0.103611,16.440000,-7.400000,-7.438832,0.038832,0
2024-10-19 03:00:00,14.993500,7.520000,7.520000,2129.298443,0.000000,0.000000,-4.869218,-2.552360,-2.552360,0.541250,0.569411,38.863335,4.274933,77.845584,0.106398,16.520000,-7.442500,-7.491409,0.048909,0
2024-10-19 04:00:00,14.872000,7.530000,7.530000,2090.385100,0.000000,0.000000,-4.715316,-2.471687,-2.471687,0.528500,0.557872,37.227607,4.212974,78.334576,0.109254,16.600000,-7.485000,-7.539603,0.054603,0
2024-10-19 05:00:00,14.750500,7.540000,7.540000,2052.082495,0.000000,0.000000,-4.561413,-2.391014,-2.391014,0.515750,0.546254,35.634262,4.151740,78.822491,0.112178,16.680000,-7.527500,-7.583878,0.056378,0
2024-10-19 06:00:00,14.629000,7.550000,7.550000,2014.384675,0.000000,0.000000,-4.407511,-2.310341,-2.310341,0.503000,0.534556,34.082705,4.091230,79.309333,0.115174,16.760000,-7.570000,-7.624651,0.054651,0
2024-10-19 07:00:00,14.793000,7.555000,7.555000,1991.799361,1.360659,0.564656,-4.584093,-2.402902,-1.838247,0.483500,0.511492,32.124577,4.024339,79.159085,0.116775,16.712500,-7.525000,-7.606462,0.081462,1
2024-10-19 08:00:00,14.957000,7.560000,7.560000,1969.434110,2.721318,1.129311,-4.760676,-2.495464,-1.366152,0.464000,0.488635,30.228291,3.958529,79.007325,0.118394,16.665000,-7.480000,-7.580913,0.100913,1
2024-10-19 09:00:00,15.121000,7.565000,7.565000,1947.287474,4.081978,1.693967,-4.937258,-2.588025,-0.894058,0.444500,0.465982,28.392358,3.893781,78.854075,0.120031,16.617500,-7.435000,-7.548378,0.113378,1
2024-10-19 10:00:00,15.285000,7.570000,7.570000,1925.357994,5.442637,2.258623,-5.113840,-2.680587,-0.421964,0.425000,0.443532,26.615323,3.830081,78.699357,0.121685,16.570000,-7.390000,-7.509305,0.119305,1
2024-10-19 11:00:00,15.657250,7.577500,7.577500,1905.674193,6.594011,2.736428,-5.462880,-2.863547,-0.127119,0.465500,0.480873,28.429181,3.746880,78.873872,0.125290,16.582500,-7.327500,-7.489048,0.161548,1
2024-10-19 12:00:00,16.029500,7.585000,7.585000,1886.167137,7.745384,3.214233,-5.811919,-3.046508,0.167725,0.506000,0.517453,30.137925,3.665688,79.045503,0.128985,16.595000,-7.265000,-7.427404,0.162404,1
2024-10-19 13:00:00,16.401750,7.592500,7.592500,1866.837056,8.896758,3.692038,-6.160959,-3.229468,0.462570,0.546500,0.553292,31.745853,3.586455,79.214321,0.132773,16.607500,-7.202500,-7.311314,0.108814,1
2024-10-19 14:00:00,16.774000,7.600000,7.600000,1847.684065,10.048132,4.169843,-6.509998,-3.412429,0.757414,0.587000,0.588411,33.257089,3.509131,79.380390,0.136656,16.620000,-7.140000,-7.147378,0.007378,1
2024-10-19 15:00:00,16.742750,7.662500,7.662500,1612.294873,8.307358,3.447444,-6.483580,-3.398580,0.048864,0.575000,0.576862,27.216477,3.065016,80.035799,0.159069,16.632500,-7.112500,-7.133065,0.020565,1
2024-10-19 16:00:00,16.711500,7.725000,7.725000,1405.468561,6.566583,2.725046,-6.457161,-3.384732,-0.659686,0.563000,0.565294,22.030714,2.674398,80.613531,0.184958,16.645000,-7.085000,-7.144527,0.059527,1
2024-10-19 17:00:00,16.680250,7.787500,7.787500,1224.070031,4.825809,2.002647,-6.430742,-3.370884,-1.368236,0.551000,0.553707,17.592290,2.331461,81.121095,0.214855,16.657500,-7.057500,-7.163835,0.106335,1
