DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,GPP_input_mgO2Lh,GPP_optimized_mgO2Lh,ER_input_mgO2Lh,ER_optimized_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2024-10-18 18:00:00,16.841000,7.720000,7.720000,1385.910287,0.534519,0.008351,-6.118821,-0.020840,-0.012489,0.700000,0.700433,26.738018,2.626712,78.422741,0.178279,16.380000,-7.170000,-7.170000,0.000000,-16.549819,-6.737048,1
2024-10-18 19:00:00,16.582250,7.690000,7.690000,1473.339038,0.400890,0.000000,-5.957950,-0.020292,-0.020292,0.681250,0.686391,28.617132,2.814753,78.064012,0.164503,16.357500,-7.187500,-7.180932,-0.006568,-16.564096,-6.721294,0
2024-10-18 20:00:00,16.323500,7.660000,7.660000,1565.897518,0.267260,0.000000,-5.797079,-0.019744,-0.019744,0.662500,0.672145,30.531068,3.015611,77.686470,0.151744,16.335000,-7.205000,-7.190877,-0.014123,-16.576034,-6.703123,0
2024-10-18 21:00:00,16.064750,7.630000,7.630000,1663.834024,0.133630,0.000000,-5.636207,-0.019196,-0.019196,0.643750,0.657693,32.475317,3.230059,77.289117,0.139928,16.312500,-7.222500,-7.199840,-0.022660,-16.585474,-6.682375,0
2024-10-18 22:00:00,15.806000,7.600000,7.600000,1767.401241,0.000000,0.000000,-5.475336,-0.018648,-0.018648,0.625000,0.643031,34.444562,3.458903,76.870909,0.128986,16.290000,-7.240000,-7.207826,-0.032174,-16.592251,-6.658882,0
2024-10-18 23:00:00,15.633250,7.577500,7.577500,1855.546870,0.000000,0.000000,-5.362282,-0.018263,-0.018263,0.607250,0.627715,35.858913,3.651080,76.800613,0.121814,16.327500,-7.280000,-7.256234,-0.023766,-16.620037,-6.666664,0
2024-10-19 00:00:00,15.460500,7.555000,7.555000,1947.741660,0.000000,0.000000,-5.249228,-0.017878,-0.017878,0.589500,0.612250,37.257760,3.853304,76.716011,0.115016,16.365000,-7.320000,-7.303587,-0.016413,-16.646192,-6.672775,0
2024-10-19 01:00:00,15.287750,7.532500,7.532500,2044.136000,0.000000,0.000000,-5.136174,-0.017493,-0.017493,0.571750,0.596636,38.635391,4.066031,76.616495,0.108573,16.402500,-7.360000,-7.349893,-0.010107,-16.670640,-6.677138,0
2024-10-19 02:00:00,15.115000,7.510000,7.510000,2144.882059,0.000000,0.000000,-5.023120,-0.017108,-0.017108,0.554000,0.580871,39.985563,4.289727,76.501436,0.102467,16.440000,-7.400000,-7.395159,-0.004841,-16.693306,-6.679677,0
2024-10-19 03:00:00,14.993500,7.520000,7.520000,2105.788754,0.000000,0.000000,-4.869218,-0.016584,-0.016584,0.541250,0.569411,38.327483,4.227733,76.986100,0.105224,16.520000,-7.442500,-7.448479,0.005979,-16.762351,-6.735093,0
2024-10-19 04:00:00,14.872000,7.530000,7.530000,2067.305203,0.000000,0.000000,-4.715316,-0.016060,-0.016060,0.528500,0.557872,36.711923,4.166459,77.469698,0.108047,16.600000,-7.485000,-7.500167,0.015167,-16.831191,-6.790292,0
2024-10-19 05:00:00,14.750500,7.540000,7.540000,2029.425617,0.000000,0.000000,-4.561413,-0.015535,-0.015535,0.515750,0.546254,35.138295,4.105901,77.952231,0.110940,16.680000,-7.527500,-7.550247,0.022747,-16.899830,-6.845278,0
2024-10-19 06:00:00,14.629000,7.550000,7.550000,1992.144107,0.000000,0.000000,-4.407511,-0.015011,-0.015011,0.503000,0.534556,33.606009,4.046059,78.433701,0.113902,16.760000,-7.570000,-7.598740,0.028740,-16.968271,-6.900053,0
2024-10-19 07:00:00,14.793000,7.555000,7.555000,1969.807116,1.360659,0.021258,-4.584093,-0.015613,0.005645,0.483500,0.511492,31.673884,3.979905,78.285071,0.115486,16.712500,-7.525000,-7.563551,0.038551,-16.914773,-6.865396,1
2024-10-19 08:00:00,14.957000,7.560000,7.560000,1947.687790,2.721318,0.042516,-4.760676,-0.016214,0.026302,0.464000,0.488635,29.802875,3.914819,78.134945,0.117087,16.665000,-7.480000,-7.520913,0.040913,-16.861136,-6.830578,1
2024-10-19 09:00:00,15.121000,7.565000,7.565000,1925.784695,4.081978,0.063775,-4.937258,-0.016816,0.046959,0.444500,0.465982,27.991510,3.850784,77.983346,0.118705,16.617500,-7.435000,-7.470767,0.035767,-16.807362,-6.795602,1
2024-10-19 10:00:00,15.285000,7.570000,7.570000,1904.096388,5.442637,0.085033,-5.113840,-0.017417,0.067616,0.425000,0.443532,26.238350,3.787785,77.830296,0.120341,16.570000,-7.390000,-7.413049,0.023049,-16.753454,-6.760470,1
2024-10-19 11:00:00,15.657250,7.577500,7.577500,1884.628666,6.594011,0.103021,-5.462880,-0.018606,0.084415,0.465500,0.480873,28.025315,3.705501,78.002830,0.123906,16.582500,-7.327500,-7.378149,0.050649,-16.664897,-6.714798,1
2024-10-19 12:00:00,16.029500,7.585000,7.585000,1865.335804,7.745384,0.121010,-5.811919,-0.019795,0.101215,0.506000,0.517453,29.708488,3.625204,78.172515,0.127561,16.595000,-7.265000,-7.332456,0.067456,-16.575975,-6.668651,1
2024-10-19 13:00:00,16.401750,7.592500,7.592500,1846.218028,8.896758,0.138998,-6.160959,-0.020983,0.118015,0.546500,0.553292,31.292116,3.546843,78.339417,0.131307,16.607500,-7.202500,-7.276060,0.073560,-16.486701,-6.622041,1
2024-10-19 14:00:00,16.774000,7.600000,7.600000,1827.275453,10.048132,0.156986,-6.509998,-0.022172,0.134814,0.587000,0.588411,32.780273,3.470371,78.503604,0.135146,16.620000,-7.140000,-7.209064,0.069064,-16.397087,-6.574983,1
2024-10-19 15:00:00,16.742750,7.662500,7.662500,1594.482460,8.307358,0.129790,-6.483580,-0.022082,0.107707,0.575000,0.576862,26.808430,3.031154,79.151584,0.157312,16.632500,-7.112500,-7.162435,0.049935,-16.444760,-6.619489,1
2024-10-19 16:00:00,16.711500,7.725000,7.725000,1389.937360,6.566583,0.102593,-6.457161,-0.021992,0.080601,0.563000,0.565294,21.682012,2.644844,79.722716,0.182914,16.645000,-7.085000,-7.136010,0.051010,-16.483858,-6.655333,1
2024-10-19 17:00:00,16.680250,7.787500,7.787500,1210.539623,4.825809,0.075396,-6.430742,-0.021902,0.053494,0.551000,0.553707,17.294696,2.305690,80.224420,0.212480,16.657500,-7.057500,-7.129640,0.072140,-16.515326,-6.683470,1
2024-10-19 18:00:00,16.649000,7.850000,7.850000,1053.448785,3.085035,0.048199,-6.404324,-0.021812,0.026387,0.539000,0.542100,13.551291,2.008410,80.663381,0.246614,16.670000,-7.030000,-7.143210,0.113210,-16.540029,-6.704775,1
2024-10-19 19:00:00,16.457000,7.782500,7.782500,1221.747205,2.313776,0.000000,-6.225172,-0.021202,-0.021202,0.567500,0.573703,18.192832,2.343121,80.276850,0.209018,16.677500,-7.115000,-7.189450,0.074450,-16.591476,-6.734323,0
2024-10-19 20:00:00,16.265000,7.715000,7.715000,1415.524777,1.542517,0.000000,-6.046020,-0.020592,-0.020592,0.596000,0.605629,23.892339,2.730946,79.810998,0.176961,16.685000,-7.200000,-7.234565,0.034565,-16.634205,-6.755036,0
2024-10-19 21:00:00,16.073000,7.647500,7.647500,1638.184518,0.771259,0.000000,-5.866868,-0.019982,-0.019982,0.624500,0.637884,30.843993,3.179425,79.256219,0.149637,16.692500,-7.285000,-7.278555,-0.006445,-16.666937,-6.765625,0
2024-10-19 22:00:00,15.881000,7.580000,7.580000,1893.428133,0.000000,0.000000,-5.687716,-0.019372,-0.019372,0.653000,0.670472,39.270497,3.696858,78.601732,0.126354,16.700000,-7.370000,-7.321217,-0.048783,-16.688267,-6.764667,0
2024-10-19 23:00:00,15.696750,7.567500,7.567500,1943.494040,0.000000,0.000000,-5.572779,-0.018980,-0.018980,0.614750,0.634368,38.454237,3.816512,78.578630,0.122154,16.727500,-7.410000,-7.367472,-0.042528,-16.729513,-6.784707,0
