DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,Ca_measured_mgL,Na_measured_mgL,Cl_measured_mgL,SI_Calcite,PAR_Wm2,GPP_observed_mgO2Lh,GPP_modeled_mgO2Lh,ER_observed_mgO2Lh,ER_modeled_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2024-10-18 18:00:00,16.841000,7.720000,7.720000,1367.725849,22.700000,1.178000,1.881000,-0.500543,0.002516,0.534519,0.000364,-6.118821,-6.150545,-6.150180,0.700000,0.700433,26.227144,2.591886,78.007513,0.181583,16.380000,-7.170000,-7.170000,0.000000,-16.555998,-6.743289,1
2024-10-18 19:00:00,16.582250,7.690000,7.690000,1454.194118,22.750000,1.176500,1.872750,-0.535122,0.000000,0.400890,0.000000,-5.957950,-5.988314,-5.988314,0.681250,0.686391,28.089378,2.777790,77.663157,0.167595,16.357500,-7.187500,-7.183905,-0.003595,-16.570593,-6.727856,0
2024-10-18 20:00:00,16.323500,7.660000,7.660000,1545.740816,22.800000,1.175000,1.864500,-0.569828,0.000000,0.267260,0.000000,-5.797079,-5.830363,-5.830363,0.662500,0.672145,29.986253,2.976377,77.299649,0.154635,16.335000,-7.205000,-7.194528,-0.010472,-16.582878,-6.710036,0
2024-10-18 21:00:00,16.064750,7.630000,7.630000,1642.612567,22.850000,1.173500,1.856250,-0.604666,0.000000,0.133630,0.000000,-5.636207,-5.676578,-5.676578,0.643750,0.657693,31.913328,3.188415,76.916045,0.142630,16.312500,-7.222500,-7.203120,-0.019380,-16.592697,-6.689671,0
2024-10-18 22:00:00,15.806000,7.600000,7.600000,1745.060493,22.900000,1.172000,1.848000,-0.639643,0.000000,0.000000,0.000000,-5.475336,-5.526850,-5.526850,0.625000,0.643031,33.865369,3.414702,76.511350,0.131511,16.290000,-7.240000,-7.210633,-0.029367,-16.599884,-6.666592,0
2024-10-18 23:00:00,15.633250,7.577500,7.577500,1832.267244,22.925000,1.173500,1.858000,-0.664557,0.000000,0.000000,0.000000,-5.362282,-5.429091,-5.429091,0.607250,0.627715,35.269229,3.604766,76.449909,0.124218,16.327500,-7.280000,-7.288378,0.008378,-16.627987,-6.674695,0
2024-10-19 00:00:00,15.460500,7.555000,7.555000,1923.486046,22.950000,1.175000,1.868000,-0.689555,0.000000,0.000000,0.000000,-5.249228,-5.333061,-5.333061,0.589500,0.612250,36.657954,3.804782,76.374123,0.117305,16.365000,-7.320000,-7.353184,0.033184,-16.654477,-6.681144,0
2024-10-19 01:00:00,15.287750,7.532500,7.532500,2018.866500,22.975000,1.176500,1.878000,-0.714638,0.000000,0.000000,0.000000,-5.136174,-5.238730,-5.238730,0.571750,0.596636,38.025904,4.015200,76.283401,0.110751,16.402500,-7.360000,-7.408177,0.048177,-16.679279,-6.685864,0
2024-10-19 02:00:00,15.115000,7.510000,7.510000,2118.560052,23.000000,1.178000,1.888000,-0.739810,0.000000,0.000000,0.000000,-5.023120,-5.146068,-5.146068,0.554000,0.580871,39.366911,4.236484,76.177130,0.104540,16.440000,-7.400000,-7.455770,0.055770,-16.702316,-6.688778,0
2024-10-19 03:00:00,14.993500,7.520000,7.520000,2079.909174,23.050000,1.174000,1.882500,-0.728270,0.000000,0.000000,0.000000,-4.869218,-5.081879,-5.081879,0.541250,0.569411,37.730896,4.175184,76.657318,0.107344,16.520000,-7.442500,-7.547036,0.104536,-16.771226,-6.744059,0
2024-10-19 04:00:00,14.872000,7.530000,7.530000,2041.861613,23.100000,1.170000,1.877000,-0.716757,0.000000,0.000000,0.000000,-4.715316,-5.018491,-5.018491,0.528500,0.557872,36.136951,4.114595,77.136415,0.110217,16.600000,-7.485000,-7.618053,0.133053,-16.839934,-6.799124,0
2024-10-19 05:00:00,14.750500,7.540000,7.540000,2004.411612,23.150000,1.166000,1.871500,-0.705270,0.000000,0.000000,0.000000,-4.561413,-4.955894,-4.955894,0.515750,0.546254,34.584491,4.054717,77.614420,0.113159,16.680000,-7.527500,-7.672924,0.145424,-16.908444,-6.853979,0
2024-10-19 06:00:00,14.629000,7.550000,7.550000,1967.553318,23.200000,1.162000,1.866000,-0.693808,0.000000,0.000000,0.000000,-4.407511,-4.894077,-4.894077,0.503000,0.534556,33.072935,3.995546,78.091335,0.116173,16.760000,-7.570000,-7.714883,0.144883,-16.976757,-6.908626,0
2024-10-19 07:00:00,14.793000,7.555000,7.555000,1945.466615,23.125000,1.153500,1.858000,-0.688440,0.000000,1.360659,0.000000,-4.584093,-4.977701,-4.977701,0.483500,0.511492,31.169411,3.930168,77.941063,0.117779,16.712500,-7.525000,-7.596419,0.071419,-16.923147,-6.873855,0
2024-10-19 08:00:00,14.957000,7.560000,7.560000,1923.595667,23.050000,1.145000,1.850000,-0.683089,22.226213,2.721318,1.993339,-4.760676,-5.062753,-3.069414,0.464000,0.488635,29.326248,3.865847,77.789320,0.119402,16.665000,-7.480000,-7.513487,0.033487,-16.869399,-6.838925,1
2024-10-19 09:00:00,15.121000,7.565000,7.565000,1901.939039,22.975000,1.136500,1.842000,-0.677755,95.052446,4.081978,4.430775,-4.937258,-5.149259,-0.718483,0.444500,0.465982,27.541991,3.802567,77.636131,0.121043,16.617500,-7.435000,-7.458484,0.023484,-16.815515,-6.803838,1
2024-10-19 10:00:00,15.285000,7.570000,7.570000,1880.495286,22.900000,1.128000,1.834000,-0.672438,170.250481,5.442637,5.346574,-5.113840,-5.237242,0.109332,0.425000,0.443532,25.815216,3.740311,77.481517,0.122702,16.570000,-7.390000,-7.415182,0.025182,-16.761500,-6.768597,1
2024-10-19 11:00:00,15.657250,7.577500,7.577500,1861.194840,22.825000,1.132000,1.837000,-0.659855,227.687262,6.594011,5.853548,-5.462880,-5.442568,0.410980,0.465500,0.480873,27.570617,3.658914,77.648084,0.126318,16.582500,-7.327500,-7.293450,-0.034050,-16.672770,-6.722750,1
