DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,GPP_input_mgO2Lh,GPP_optimized_mgO2Lh,ER_input_mgO2Lh,ER_optimized_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2025-04-18 18:00:00,19.940000,8.030000,8.030000,503.605875,3.163261,0.279076,-3.243061,-0.962707,-0.683631,1.330329,1.228656,3.824821,0.869848,55.462972,0.272372,11.340000,-9.870000,-9.870000,0.000000,-19.104301,-9.673271,1
2025-04-18 19:00:00,19.857500,7.947500,7.947500,612.196691,2.372446,0.209307,-3.201689,-0.950426,-0.741119,1.255783,1.162224,8.565133,1.059967,55.824481,0.226327,11.455000,-9.912500,-9.899770,-0.012730,-19.114143,-9.673823,1
2025-04-18 20:00:00,19.775000,7.865000,7.865000,743.342418,1.581631,0.000000,-3.160316,-0.938144,-0.938144,1.181237,1.095512,13.708420,1.290151,56.122698,0.187839,11.570000,-9.955000,-9.973285,0.018285,-19.115866,-9.666173,0
2025-04-18 21:00:00,19.692500,7.782500,7.782500,901.404899,0.790815,0.000000,-3.118944,-0.925863,-0.925863,1.106691,1.028520,19.249678,1.568279,56.347972,0.155682,11.685000,-9.997500,-10.044180,0.046680,-19.107925,-9.648760,0
2025-04-18 22:00:00,19.610000,7.700000,7.700000,1091.448074,0.000000,0.000000,-3.077571,-0.913581,-0.913581,1.032145,0.961245,25.162807,1.903531,56.488648,0.128828,11.800000,-10.040000,-10.112675,0.072675,-19.088546,-9.619793,0
2025-04-18 23:00:00,19.540000,7.665000,7.665000,1173.320659,0.000000,0.000000,-3.055137,-0.906921,-0.906921,1.023675,0.955050,28.076105,2.050544,56.070650,0.117734,11.755000,-10.102500,-10.168047,0.065547,-19.123916,-9.647524,0
2025-04-19 00:00:00,19.470000,7.630000,7.630000,1260.915927,0.000000,0.000000,-3.032702,-0.900262,-0.900262,1.015205,0.948831,31.163660,2.208184,55.636978,0.107558,11.710000,-10.165000,-10.222902,0.057902,-19.156628,-9.672568,0
2025-04-19 01:00:00,19.400000,7.595000,7.595000,1354.570728,0.000000,0.000000,-3.010267,-0.893602,-0.893602,1.006735,0.942590,34.433661,2.377105,55.186803,0.098225,11.665000,-10.227500,-10.277298,0.049798,-19.186499,-9.694739,0
2025-04-19 02:00:00,19.330000,7.560000,7.560000,1454.631648,0.000000,0.000000,-2.987832,-0.886942,-0.886942,0.998266,0.936324,37.894303,2.557987,54.719253,0.089665,11.620000,-10.290000,-10.331294,0.041294,-19.213336,-9.713845,0
2025-04-19 03:00:00,19.280000,7.542500,7.542500,1528.903686,0.000000,0.000000,-2.965156,-0.880210,-0.880210,0.974374,0.915079,39.711799,2.692566,55.288673,0.086961,11.770000,-10.352500,-10.396155,0.043655,-19.258121,-9.753353,0
2025-04-19 04:00:00,19.230000,7.525000,7.525000,1606.549174,0.000000,0.000000,-2.942479,-0.873479,-0.873479,0.950483,0.893779,41.521991,2.833490,55.849242,0.084316,11.920000,-10.415000,-10.458577,0.043577,-19.302064,-9.792010,0
2025-04-19 05:00:00,19.180000,7.507500,7.507500,1687.698911,0.000000,0.000000,-2.919803,-0.866747,-0.866747,0.926591,0.872423,43.320382,2.981018,56.400602,0.081728,12.070000,-10.477500,-10.518686,0.041186,-19.345139,-9.829789,0
