DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,Ca_measured_mgL,Na_measured_mgL,Cl_measured_mgL,SI_Calcite,PAR_Wm2,GPP_observed_mgO2Lh,GPP_modeled_mgO2Lh,ER_observed_mgO2Lh,ER_modeled_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2025-04-18 18:00:00,19.940000,8.030000,8.030000,498.244809,13.500000,0.975000,1.541000,-0.502726,52.621066,3.163261,3.963124,-3.243061,-4.889619,-0.926495,1.330329,1.228656,3.564719,0.860514,55.199788,0.275955,11.340000,-9.870000,-9.870000,0.000000,-19.107352,-9.676351,1
2025-04-18 19:00:00,19.857500,7.947500,7.947500,605.851549,13.675000,0.971250,1.538000,-0.577752,0.901118,2.372446,0.234540,-3.201689,-4.871191,-4.636652,1.255783,1.162224,8.273743,1.048890,55.578636,0.229423,11.455000,-9.912500,-10.044473,0.131973,-19.117370,-9.677081,1
2025-04-18 20:00:00,19.775000,7.865000,7.865000,735.813471,13.850000,0.967500,1.535000,-0.653416,0.000000,1.581631,0.000000,-3.160316,-4.852833,-4.852833,1.181237,1.095512,13.382305,1.276972,55.892199,0.190499,11.570000,-9.955000,-10.188959,0.233959,-19.119374,-9.669715,0
2025-04-18 21:00:00,19.692500,7.782500,7.782500,892.455590,14.025000,0.963750,1.532000,-0.729760,0.000000,0.790815,0.000000,-3.118944,-4.834544,-4.834544,1.106691,1.028520,18.885522,1.552572,56.131334,0.157958,11.685000,-9.997500,-10.312237,0.314737,-19.111828,-9.652700,0
2025-04-18 22:00:00,19.610000,7.700000,7.700000,1080.800431,14.200000,0.960000,1.529000,-0.806846,0.000000,0.000000,0.000000,-3.077571,-4.816324,-4.816324,1.032145,0.961245,24.757641,1.884792,56.284862,0.130767,11.800000,-10.040000,-10.420426,0.380426,-19.092967,-9.624257,0
2025-04-18 23:00:00,19.540000,7.665000,7.665000,1161.960723,14.225000,0.951750,1.531000,-0.844958,0.000000,0.000000,0.000000,-3.055137,-4.800919,-4.800919,1.023675,0.955050,27.646458,2.030508,55.874485,0.119532,11.755000,-10.102500,-10.326868,0.224368,-19.128598,-9.652251,0
2025-04-19 00:00:00,19.470000,7.630000,7.630000,1248.796127,14.250000,0.943500,1.533000,-0.883219,0.000000,0.000000,0.000000,-3.032702,-4.785562,-4.785562,1.015205,0.948831,30.708087,2.186761,55.448237,0.109224,11.710000,-10.165000,-10.255696,0.090696,-19.161597,-9.677584,0
2025-04-19 01:00:00,19.400000,7.595000,7.595000,1341.641246,14.275000,0.935250,1.535000,-0.921637,0.000000,0.000000,0.000000,-3.010267,-4.770255,-4.770255,1.006735,0.942590,33.950668,2.354202,55.005325,0.099768,11.665000,-10.227500,-10.203253,-0.024247,-19.191781,-9.700073,0
2025-04-19 02:00:00,19.330000,7.560000,7.560000,1440.840480,14.300000,0.927000,1.537000,-0.960222,0.000000,0.000000,0.000000,-2.987832,-4.754997,-4.754997,0.998266,0.936324,37.382354,2.533505,54.544912,0.091093,11.620000,-10.290000,-10.166595,-0.123405,-19.218961,-9.719525,0
2025-04-19 03:00:00,19.280000,7.542500,7.542500,1514.147411,14.575000,1.127500,1.791750,-0.966434,0.000000,0.000000,0.000000,-2.965156,-4.744128,-4.744128,0.974374,0.915079,39.176258,2.666328,55.112561,0.088392,11.770000,-10.352500,-10.375357,0.022857,-19.264053,-9.759343,0
2025-04-19 04:00:00,19.230000,7.525000,7.525000,1590.775334,14.850000,1.328000,2.046500,-0.972904,0.000000,0.000000,0.000000,-2.942479,-4.733284,-4.733284,0.950483,0.893779,40.962643,2.805397,55.671493,0.085747,11.920000,-10.415000,-10.547107,0.132107,-19.308317,-9.798324,0
2025-04-19 05:00:00,19.180000,7.507500,7.507500,1670.852835,15.125000,1.528500,2.301250,-0.979625,0.000000,0.000000,0.000000,-2.919803,-4.722465,-4.722465,0.926591,0.872423,42.737075,2.950967,56.221357,0.083158,12.070000,-10.477500,-10.689553,0.212053,-19.351728,-9.836442,0
2025-04-19 06:00:00,19.130000,7.490000,7.490000,1754.511947,15.400000,1.729000,2.556000,-0.986592,0.000000,0.000000,0.000000,-2.897126,-4.711670,-4.711670,0.902700,0.851013,44.494750,3.103299,56.761792,0.080625,12.220000,-10.540000,-10.808747,0.268747,-19.394258,-9.873669,0
2025-04-19 07:00:00,19.232500,7.527500,7.527500,1614.384202,15.025000,1.521500,2.299750,-0.957256,13.957155,1.567669,2.146698,-2.921085,-4.733826,-2.587128,0.974653,0.916449,42.850785,2.846802,56.847043,0.088185,12.167500,-10.522500,-10.661044,0.138544,-19.418196,-9.909554,1
2025-04-19 08:00:00,19.335000,7.565000,7.565000,1484.720447,14.650000,1.314000,2.043500,-0.928397,91.200000,3.135338,4.312191,-2.945044,-4.756085,-0.443894,1.046606,0.981541,40.877320,2.610239,56.904001,0.096404,12.115000,-10.505000,-10.517740,0.012740,-19.438198,-9.941455,1
2025-04-19 09:00:00,19.437500,7.602500,7.602500,1364.847142,14.275000,1.106500,1.787250,-0.900016,186.221434,4.703008,4.779764,-2.969003,-4.778449,0.001315,1.118560,1.046292,38.632627,2.392252,56.934476,0.105337,12.062500,-10.487500,-10.391984,-0.095516,-19.454520,-9.969633,1
2025-04-19 10:00:00,19.540000,7.640000,7.640000,1254.117358,13.900000,0.899000,1.531000,-0.872115,272.861050,6.270677,4.964702,-2.992962,-4.800919,0.163783,1.190513,1.110703,36.168346,2.191546,56.940190,0.115045,12.010000,-10.470000,-10.272151,-0.197849,-19.467411,-9.994338,1
2025-04-19 11:00:00,19.750000,7.847500,7.847500,788.793149,13.875000,0.895000,1.530250,-0.658461,339.314627,7.299303,5.101381,-3.054695,-4.847284,0.254098,1.158380,1.074994,15.365484,1.369912,57.593679,0.188670,11.935000,-10.345000,-10.128327,-0.216673,-19.496990,-10.048122,1
2025-04-19 12:00:00,19.960000,8.055000,8.055000,492.023139,13.850000,0.891000,1.529500,-0.448627,378.826164,8.327929,5.201916,-3.116428,-4.894097,0.307819,1.126248,1.039648,2.762509,0.849261,57.768092,0.306743,11.860000,-10.220000,-9.986939,-0.233061,-19.463174,-10.037868,1
2025-04-19 13:00:00,20.170000,8.262500,8.262500,304.965085,13.825000,0.887000,1.528750,-0.242076,387.829460,9.356555,5.279783,-3.178161,-4.941362,0.338421,1.094115,1.004662,-4.687562,0.523168,57.573491,0.495454,11.785000,-10.095000,-9.864118,-0.230882,-19.388846,-9.986680,1
2025-04-19 14:00:00,20.380000,8.470000,8.470000,187.942791,13.800000,0.883000,1.528000,-0.038951,365.550636,10.385181,5.336628,-3.239894,-4.989084,0.347544,1.061983,0.970029,-8.961035,0.320451,57.051042,0.795657,11.710000,-9.970000,-9.775197,-0.194803,-19.289711,-9.910416,1
2025-04-19 15:00:00,20.577500,8.395000,8.395000,225.513899,13.650000,0.905000,1.528000,-0.111787,313.954885,9.145774,5.360103,-3.256615,-5.034385,0.325718,1.014351,0.921951,-7.156760,0.382314,57.438327,0.676971,11.770000,-9.937500,-9.732976,-0.204524,-19.220656,-9.863074,1
2025-04-19 16:00:00,20.775000,8.320000,8.320000,270.392094,13.500000,0.927000,1.528000,-0.185158,237.894971,7.906368,5.327568,-3.273336,-5.080098,0.247470,0.966720,0.874334,-5.249827,0.455784,57.784414,0.575542,11.830000,-9.905000,-9.723504,-0.181496,-19.149587,-9.813671,1
2025-04-19 17:00:00,20.972500,8.245000,8.245000,323.965500,13.350000,0.949000,1.528000,-0.259029,145.871758,6.666962,5.144916,-3.290057,-5.126226,0.018690,0.919088,0.827172,-3.233912,0.542988,58.089927,0.488941,11.890000,-9.872500,-9.812714,-0.059786,-19.076060,-9.761760,1
2025-04-19 18:00:00,21.170000,8.170000,8.170000,387.873916,13.200000,0.971000,1.528000,-0.333380,53.654292,5.427555,4.316968,-3.306778,-5.172773,-0.855804,0.871457,0.780461,-1.104419,0.646422,58.354513,0.415057,11.950000,-9.840000,-9.958395,0.118395,-18.999572,-9.706832,1
