DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,GPP_input_mgO2Lh,GPP_optimized_mgO2Lh,ER_input_mgO2Lh,ER_optimized_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2025-07-18 18:00:00,32.290000,9.010000,9.010000,97.050035,11.890083,16.482047,-11.490541,-4.761881,11.720166,0.758561,0.517490,-6.462263,0.120651,86.027157,5.337341,18.280000,-7.270000,-7.270000,0.000000,-15.406047,-7.291291,1
2025-07-18 19:00:00,31.945000,8.850000,8.850000,144.256161,8.917562,12.361535,-11.452496,-4.746115,7.615421,0.778121,0.535273,-5.720281,0.180842,88.901135,3.788316,18.547500,-7.445000,-7.616278,0.171278,-15.597698,-7.448274,1
2025-07-18 20:00:00,31.600000,8.690000,8.690000,213.011629,5.945042,8.241024,-11.414451,-4.730348,3.510675,0.797681,0.553339,-4.461624,0.269286,91.283256,2.673131,18.815000,-7.620000,-7.975268,0.355268,-15.789338,-7.605178,1
2025-07-18 21:00:00,31.255000,8.530000,8.530000,312.971781,2.972521,0.000000,-11.376407,-4.714582,-4.714582,0.817241,0.571690,-2.428609,0.399007,93.274759,1.877792,19.082500,-7.795000,-8.037990,0.242990,-15.978657,-7.759671,0
2025-07-18 22:00:00,30.910000,8.370000,8.370000,458.026342,0.000000,0.000000,-11.338362,-4.698816,-4.698816,0.836801,0.590326,0.760992,0.588911,94.941369,1.314297,19.350000,-7.970000,-8.094569,0.124569,-16.162925,-7.909002,0
2025-07-18 23:00:00,30.785000,8.270000,8.270000,575.676855,0.000000,0.000000,-11.242353,-4.659028,-4.659028,0.821432,0.581259,3.360195,0.742470,94.951199,1.041218,19.337500,-8.017500,-8.080577,0.063077,-16.203311,-7.936490,0
2025-07-19 00:00:00,30.660000,8.170000,8.170000,722.684398,0.000000,0.000000,-11.146344,-4.619240,-4.619240,0.806064,0.572132,6.518918,0.934958,94.848929,0.823934,19.325000,-8.065000,-8.068075,0.003075,-16.239415,-7.959651,0
2025-07-19 01:00:00,30.535000,8.070000,8.070000,906.139745,0.000000,0.000000,-11.050334,-4.579452,-4.579452,0.790696,0.562945,10.358011,1.175939,94.633045,0.651218,19.312500,-8.112500,-8.057226,-0.055274,-16.270013,-7.977248,0
2025-07-19 02:00:00,30.410000,7.970000,7.970000,1134.714844,0.000000,0.000000,-10.954325,-4.539664,-4.539664,0.775328,0.553697,15.021376,1.477152,94.296725,0.514042,19.300000,-8.160000,-8.048261,-0.111739,-16.293624,-7.987790,0
2025-07-19 03:00:00,30.247500,7.917500,7.917500,1266.027330,0.000000,0.000000,-10.938611,-4.533152,-4.533152,0.781363,0.560235,18.009769,1.654774,93.441011,0.449762,19.165000,-8.050000,-8.012419,-0.037581,-16.178559,-7.854486,0
