DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,Ca_measured_mgL,Na_measured_mgL,Cl_measured_mgL,SI_Calcite,PAR_Wm2,GPP_observed_mgO2Lh,GPP_modeled_mgO2Lh,ER_observed_mgO2Lh,ER_modeled_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2025-07-18 18:00:00,32.290000,9.010000,9.010000,93.144018,21.000000,1.486000,2.212000,0.956179,102.031980,11.890083,22.582522,-11.490541,-11.053443,11.529080,0.758561,0.517490,-6.539594,0.115783,83.039880,5.241344,18.280000,-7.270000,-7.270000,0.000000,-15.422873,-7.308255,1
2025-07-18 19:00:00,31.945000,8.850000,8.850000,139.176638,22.875000,1.345250,2.204750,0.855624,22.042357,8.917562,13.799564,-11.452496,-11.053443,2.746121,0.778121,0.535273,-5.824393,0.174452,86.332385,3.751508,18.547500,-7.445000,-8.766459,1.321459,-15.611348,-7.462038,1
2025-07-18 20:00:00,31.600000,8.690000,8.690000,206.398003,24.750000,1.204500,2.197500,0.745856,0.000030,5.945042,0.000038,-11.414451,-11.053443,-11.053404,0.797681,0.553339,-4.601896,0.260889,89.092380,2.666247,18.815000,-7.620000,-8.671751,1.051751,-15.800237,-7.616168,1
2025-07-18 21:00:00,31.255000,8.530000,8.530000,304.273643,26.625000,1.063750,2.190250,0.628687,0.000000,2.972521,0.000000,-11.376407,-11.053443,-11.053443,0.817241,0.571690,-2.619422,0.387859,91.402001,1.884188,19.082500,-7.795000,-8.604178,0.809178,-15.987365,-7.768452,0
2025-07-18 22:00:00,30.910000,8.370000,8.370000,446.407409,28.500000,0.923000,2.183000,0.505540,0.000000,0.000000,0.000000,-11.338362,-11.053443,-11.053443,0.836801,0.590326,0.497494,0.573877,93.323380,1.325248,19.350000,-7.970000,-8.555040,0.585040,-16.170053,-7.916189,0
2025-07-18 23:00:00,30.785000,8.270000,8.270000,562.159490,28.575000,0.968750,2.152000,0.408150,0.000000,0.000000,0.000000,-11.242353,-11.053443,-11.053443,0.821432,0.581259,3.058156,0.724915,93.524363,1.052406,19.337500,-8.017500,-8.264178,0.246678,-16.209561,-7.942792,0
2025-07-19 00:00:00,30.660000,8.170000,8.170000,706.824634,28.650000,1.014500,2.121000,0.309681,0.000000,0.000000,0.000000,-11.146344,-11.053443,-11.053443,0.806064,0.572132,6.169886,0.914286,93.579733,0.834425,19.325000,-8.065000,-8.068799,0.003799,-16.245077,-7.965361,0
2025-07-19 01:00:00,30.535000,8.070000,8.070000,887.385616,28.725000,1.060250,2.090000,0.210242,0.000000,0.000000,0.000000,-11.050334,-11.053443,-11.053443,0.790696,0.562945,9.951672,1.151406,93.494129,0.660583,19.312500,-8.112500,-7.939724,-0.172776,-16.275359,-7.982639,0
2025-07-19 02:00:00,30.410000,7.970000,7.970000,1112.385575,28.800000,1.106000,2.059000,0.109899,0.000000,0.000000,0.000000,-10.954325,-11.053443,-11.053443,0.775328,0.553697,14.545266,1.447837,93.266175,0.522143,19.300000,-8.160000,-7.857467,-0.302533,-16.298915,-7.993126,0
2025-07-19 03:00:00,30.247500,7.917500,7.917500,1241.635609,28.875000,1.089500,2.067750,0.053460,0.000000,0.000000,0.000000,-10.938611,-11.053443,-11.053443,0.781363,0.560235,17.483367,1.622615,92.466577,0.457198,19.165000,-8.050000,-7.699228,-0.350772,-16.183945,-7.859917,0
2025-07-19 04:00:00,30.085000,7.865000,7.865000,1385.187905,28.950000,1.073000,2.076500,-0.003258,0.000000,0.000000,0.000000,-10.922896,-11.053443,-11.053443,0.787397,0.566817,20.797928,1.817571,91.625796,0.400112,19.030000,-7.940000,-7.593472,-0.346528,-16.066241,-7.723929,0
2025-07-19 05:00:00,29.922500,7.812500,7.812500,1544.495084,29.025000,1.056500,2.085250,-0.060262,0.000000,0.000000,0.000000,-10.907182,-11.053443,-11.053443,0.793432,0.573444,24.532489,2.034863,90.742423,0.349950,18.895000,-7.830000,-7.524521,-0.305479,-15.945459,-7.584813,0
2025-07-19 06:00:00,29.760000,7.760000,7.760000,1721.125055,29.100000,1.040000,2.094000,-0.117557,0.037254,0.000000,0.041552,-10.891467,-11.053443,-11.011890,0.799467,0.580115,28.734816,2.276835,89.814617,0.305887,18.760000,-7.720000,-7.486551,-0.233449,-15.821216,-7.442185,1
2025-07-19 07:00:00,29.852500,7.862500,7.862500,1380.969517,27.975000,1.090000,2.095750,-0.025406,33.695550,4.607666,14.122275,-11.009980,-11.053443,3.068833,0.818426,0.592525,21.649705,1.822619,91.115268,0.393544,18.920000,-7.672500,-8.422569,0.750069,-15.822890,-7.453740,1
2025-07-19 08:00:00,29.945000,7.965000,7.965000,1105.958739,26.850000,1.140000,2.097500,0.065075,119.086859,9.215332,19.402388,-11.128492,-11.053443,8.348946,0.837385,0.604876,15.746666,1.456281,92.259475,0.505334,19.080000,-7.625000,-8.218999,0.593999,-15.813151,-7.453780,1
2025-07-19 09:00:00,30.037500,8.067500,8.067500,884.232206,25.725000,1.190000,2.099250,0.153855,214.102429,13.822999,20.868929,-11.247005,-11.053443,9.815486,0.856344,0.617168,10.839918,1.161631,93.260645,0.647762,19.240000,-7.577500,-7.872409,0.294909,-15.794299,-7.444623,1
2025-07-19 10:00:00,30.130000,8.170000,8.170000,705.866193,24.600000,1.240000,2.101000,0.240850,300.033672,18.430665,21.540999,-11.365518,-11.053443,10.487556,0.875304,0.629402,6.767249,0.925170,94.126529,0.829032,19.400000,-7.530000,-7.583290,0.053290,-15.768243,-7.428195,1
2025-07-19 11:00:00,30.672500,8.330000,8.330000,487.841854,24.350000,1.276250,2.104750,0.397016,366.795802,21.209790,22.691853,-11.497464,-11.053443,11.638410,0.881002,0.625131,1.516090,0.630848,93.243456,1.198342,19.262500,-7.335000,-7.211533,-0.123467,-15.556099,-7.271909,1
2025-07-19 12:00:00,31.215000,8.490000,8.490000,335.773562,24.100000,1.312500,2.108500,0.550136,408.079443,23.988915,23.756559,-11.629410,-11.053443,12.703117,0.886701,0.620885,-2.098327,0.428438,91.986241,1.724801,19.125000,-7.140000,-6.902225,-0.237775,-15.334945,-7.106355,1
