DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,GPP_input_mgO2Lh,GPP_optimized_mgO2Lh,ER_input_mgO2Lh,ER_optimized_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2025-02-07 18:00:00,11.197000,8.000000,8.000000,564.611362,0.000000,0.000000,-1.512364,-6.929292,-6.929292,0.530010,0.622245,3.561101,1.282914,65.169091,0.240531,13.380000,-9.240000,-9.240000,0.000000,-19.418637,-8.965591,1
2025-02-07 19:00:00,11.118500,7.902500,7.902500,701.197756,0.000000,0.000000,-1.514297,-6.938150,-6.938150,0.505540,0.594924,6.719129,1.597477,64.710104,0.190292,13.365000,-9.277500,-9.272154,-0.005346,-19.396881,-8.934109,0
2025-02-07 20:00:00,11.040000,7.805000,7.805000,869.277569,0.000000,0.000000,-1.516230,-6.947008,-6.947008,0.481069,0.567472,10.301902,1.985640,64.138579,0.150265,13.350000,-9.315000,-9.309403,-0.005597,-19.359175,-8.886501,0
2025-02-07 21:00:00,10.961500,7.707500,7.707500,1075.359108,0.000000,0.000000,-1.518164,-6.955866,-6.955866,0.456598,0.539889,14.344747,2.462891,63.435187,0.118390,13.335000,-9.352500,-9.353773,0.001273,-19.302071,-8.819281,0
2025-02-07 22:00:00,10.883000,7.610000,7.610000,1326.901356,0.000000,0.000000,-1.520097,-6.964724,-6.964724,0.432127,0.512173,18.872433,3.047063,62.576922,0.093025,13.320000,-9.390000,-9.407568,0.017568,-19.221588,-8.728426,0
2025-02-07 23:00:00,10.831000,7.600000,7.600000,1358.710528,0.000000,0.000000,-1.554373,-7.121768,-7.121768,0.423738,0.503025,19.193347,3.125589,62.658736,0.090896,13.357500,-9.532500,-9.511309,-0.021191,-19.353480,-8.855426,0
2025-02-08 00:00:00,10.779000,7.590000,7.590000,1391.222614,0.000000,0.000000,-1.588649,-7.278811,-7.278811,0.415350,0.493847,19.503676,3.206006,62.737887,0.088813,13.395000,-9.675000,-9.598692,-0.076308,-19.485038,-8.982088,0
2025-02-08 01:00:00,10.727000,7.580000,7.580000,1424.450644,0.000000,0.000000,-1.622924,-7.435855,-7.435855,0.406961,0.484640,19.802760,3.288354,62.814318,0.086772,13.432500,-9.817500,-9.672283,-0.145217,-19.616257,-9.108406,0
2025-02-08 02:00:00,10.675000,7.570000,7.570000,1458.407774,0.000000,0.000000,-1.657200,-7.592898,-7.592898,0.398572,0.475403,20.089911,3.372672,62.887975,0.084775,13.470000,-9.960000,-9.734328,-0.225672,-19.747128,-9.234373,0
2025-02-08 03:00:00,10.646750,7.562500,7.562500,1480.989428,0.000000,0.000000,-1.711267,-7.840620,-7.840620,0.463420,0.553229,23.892503,3.428173,62.787698,0.083116,13.465000,-9.930000,-9.758115,-0.171885,-19.708459,-9.191861,0
