DateTime,Temperature_C,pH_measured,pH_modeled,pCO2_uatm,Ca_measured_mgL,Na_measured_mgL,Cl_measured_mgL,SI_Calcite,PAR_Wm2,GPP_observed_mgO2Lh,GPP_modeled_mgO2Lh,ER_observed_mgO2Lh,ER_modeled_mgO2Lh,NEP_mgO2Lh,KO2_m_d,k600_m_d,CO2flux_mmol_m2_d,CO2aq_mgL,HCO3_mgL,CO3_mgL,DIC_mgL,d13C_DIC_measured,d13C_DIC_modeled,d13C_residual,d13C_CO2aq_eq,d13C_HCO3_eq,Daylight_flag
2025-02-07 18:00:00,11.197000,8.000000,8.000000,558.545439,16.200000,1.179000,1.926000,-0.523585,0.448413,0.000000,0.015328,-1.512364,-5.125681,-5.110353,0.530010,0.622245,3.405805,1.269000,64.888624,0.244200,13.380000,-9.240000,-9.240000,0.000000,-19.422407,-8.969401,1
2025-02-07 19:00:00,11.118500,7.902500,7.902500,693.939088,16.200000,1.166750,1.906500,-0.624464,0.000000,0.000000,0.000000,-1.514297,-5.097038,-5.097038,0.505540,0.594924,6.541323,1.580777,64.459187,0.193296,13.365000,-9.277500,-9.267647,-0.009853,-19.401042,-8.938315,0
2025-02-07 20:00:00,11.040000,7.805000,7.805000,860.567987,16.200000,1.154500,1.887000,-0.726192,0.000000,0.000000,0.000000,-1.516230,-5.068555,-5.068555,0.481069,0.567472,10.098253,1.965542,63.913534,0.152709,13.350000,-9.315000,-9.301098,-0.013902,-19.363903,-8.891279,0
2025-02-07 21:00:00,10.961500,7.707500,7.707500,1064.895208,16.200000,1.142250,1.867500,-0.828883,0.000000,0.000000,0.000000,-1.518164,-5.040232,-5.040232,0.456598,0.539889,14.111811,2.438673,63.233480,0.120370,13.335000,-9.352500,-9.342220,-0.010280,-19.307559,-8.824827,0
2025-02-07 22:00:00,10.883000,7.610000,7.610000,1314.332452,16.200000,1.130000,1.848000,-0.932691,0.000000,0.000000,0.000000,-1.520097,-5.012066,-5.012066,0.432127,0.512173,18.606822,3.017887,62.396997,0.094621,13.320000,-9.390000,-9.393153,0.003153,-19.228049,-8.734956,0
2025-02-07 23:00:00,10.831000,7.600000,7.600000,1345.821734,16.300000,1.130500,1.853750,-0.940365,0.000000,0.000000,0.000000,-1.554373,-4.993496,-4.993496,0.423738,0.503025,18.925760,3.095617,62.479693,0.092467,13.357500,-9.532500,-9.524868,-0.007632,-19.360088,-8.862105,0
2025-02-08 00:00:00,10.779000,7.590000,7.590000,1378.006635,16.400000,1.131000,1.859500,-0.948073,0.000000,0.000000,0.000000,-1.588649,-4.974994,-4.974994,0.415350,0.493847,19.234222,3.175218,62.559750,0.090357,13.395000,-9.675000,-9.633339,-0.041661,-19.491797,-8.988920,0
2025-02-08 01:00:00,10.727000,7.580000,7.580000,1410.900062,16.500000,1.131500,1.865250,-0.955816,0.000000,0.000000,0.000000,-1.622924,-4.956561,-4.956561,0.406961,0.484640,19.531552,3.256729,62.637114,0.088292,13.432500,-9.817500,-9.723217,-0.094283,-19.623170,-9.115394,0
2025-02-08 02:00:00,10.675000,7.570000,7.570000,1444.515051,16.600000,1.132000,1.871000,-0.963594,0.000000,0.000000,0.000000,-1.657200,-4.938196,-4.938196,0.398572,0.475403,19.817073,3.340190,62.711733,0.086269,13.470000,-9.960000,-9.798213,-0.161787,-19.754201,-9.241522,0
2025-02-08 03:00:00,10.646750,7.562500,7.562500,1466.869354,16.650000,1.143250,1.880750,-0.970895,0.000000,0.000000,0.000000,-1.711267,-4.928247,-4.928247,0.463420,0.553229,23.569751,3.395127,62.612819,0.084589,13.465000,-9.930000,-9.806174,-0.123826,-19.715651,-9.199130,0
2025-02-08 04:00:00,10.618500,7.555000,7.555000,1489.538163,16.700000,1.154500,1.890500,-0.978210,0.000000,0.000000,0.000000,-1.765334,-4.918319,-4.918319,0.528269,0.631189,27.479623,3.450896,62.512715,0.082940,13.460000,-9.900000,-9.814220,-0.085780,-19.676906,-9.156541,0
2025-02-08 05:00:00,10.590250,7.547500,7.547500,1512.524903,16.750000,1.165750,1.900250,-0.985538,0.000000,0.000000,0.000000,-1.819401,-4.908410,-4.908410,0.593117,0.709283,31.550248,3.507507,62.411408,0.081321,13.455000,-9.870000,-9.822371,-0.047629,-19.637965,-9.113753,0
2025-02-08 06:00:00,10.562000,7.540000,7.540000,1535.833003,16.800000,1.177000,1.910000,-0.992879,0.000000,0.000000,0.000000,-1.873468,-4.898522,-4.898522,0.657965,0.787513,35.785241,3.564971,62.308884,0.079731,13.450000,-9.840000,-9.830644,-0.009356,-19.598824,-9.070761,0
2025-02-08 07:00:00,10.657500,7.567500,7.567500,1455.066549,16.700000,1.154500,1.904750,-0.963135,0.000000,0.566998,0.000000,-1.920639,-4.932031,-4.932031,0.714692,0.852916,35.924316,3.366579,62.824742,0.085903,13.500000,-9.807500,-9.910435,0.102935,-19.601127,-9.084683,0
2025-02-08 08:00:00,10.753000,7.595000,7.595000,1378.143531,16.600000,1.132000,1.899500,-0.933535,0.173042,1.133996,0.005745,-1.967810,-4.965769,-4.960024,0.771420,0.917938,35.761055,3.178312,63.325982,0.092524,13.550000,-9.775000,-9.969041,0.194041,-19.600867,-9.096005,1
2025-02-08 09:00:00,10.848500,7.622500,7.622500,1304.923842,16.500000,1.109500,1.894250,-0.904071,36.726383,1.700995,1.032738,-2.014981,-4.999738,-3.967000,0.828147,0.982580,35.324572,2.999752,63.813135,0.099625,13.600000,-9.742500,-9.988153,0.245653,-19.598167,-9.104854,1
2025-02-08 10:00:00,10.944000,7.650000,7.650000,1235.267624,16.400000,1.087000,1.889000,-0.874740,107.678386,2.267993,2.330496,-2.062152,-5.033939,-2.703443,0.884874,1.046845,34.642074,2.830490,64.286725,0.107241,13.650000,-9.710000,-9.972843,0.262843,-19.593148,-9.111350,1
2025-02-08 11:00:00,11.038750,7.695000,7.695000,1120.409647,16.350000,1.093000,1.879250,-0.827671,172.202616,2.571657,3.090000,-2.126904,-5.068103,-1.978103,1.136437,1.340600,38.062671,2.559122,64.605330,0.119883,13.642500,-9.715000,-9.867910,0.152910,-19.644124,-9.174342,1
2025-02-08 12:00:00,11.133500,7.740000,7.740000,1015.649403,16.300000,1.099000,1.869500,-0.780855,215.517055,2.875321,3.480613,-2.191656,-5.102499,-1.621886,1.388000,1.632672,39.361478,2.312456,64.887734,0.133933,13.635000,-9.720000,-9.769330,0.049330,-19.689883,-9.232051,1
2025-02-08 13:00:00,11.228250,7.785000,7.785000,920.199621,16.250000,1.105000,1.859750,-0.734275,231.391373,3.178984,3.621016,-2.256408,-5.137128,-1.516112,1.639563,1.923073,38.862061,2.088476,65.136502,0.149546,13.627500,-9.725000,-9.681817,-0.043183,-19.730860,-9.284919,1
